"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"36","New York","36001","Albany","2018","7.9","",
"36","New York","36003","Allegany","2018","6.5","Modeled",
"36","New York","36005","Bronx","2018","8.3","",
"36","New York","36007","Broome","2018","6.9","Modeled",
"36","New York","36009","Cattaraugus","2018","7.3","Modeled",
"36","New York","36011","Cayuga","2018","6.4","Modeled",
"36","New York","36013","Chautauqua","2018","6.6","",
"36","New York","36015","Chemung","2018","6.2","Modeled",
"36","New York","36017","Chenango","2018","6.5","Modeled",
"36","New York","36019","Clinton","2018","7.0","Modeled",
"36","New York","36021","Columbia","2018","7.0","Modeled",
"36","New York","36023","Cortland","2018","6.1","Modeled",
"36","New York","36025","Delaware","2018","6.6","Modeled",
"36","New York","36027","Dutchess","2018","7.7","Modeled",
"36","New York","36029","Erie","2018","7.6","",
"36","New York","36031","Essex","2018","3.4","",
"36","New York","36033","Franklin","2018","7.4","Modeled",
"36","New York","36035","Fulton","2018","6.7","Modeled",
"36","New York","36037","Genesee","2018","7.3","Modeled",
"36","New York","36039","Greene","2018","6.8","Modeled",
"36","New York","36041","Hamilton","2018","6.0","Modeled",
"36","New York","36043","Herkimer","2018","6.5","Modeled",
"36","New York","36045","Jefferson","2018","6.8","Modeled",
"36","New York","36047","Kings","2018","7.9","",
"36","New York","36049","Lewis","2018","6.1","Modeled",
"36","New York","36051","Livingston","2018","6.7","Modeled",
"36","New York","36053","Madison","2018","6.1","Modeled",
"36","New York","36055","Monroe","2018","7.4","",
"36","New York","36057","Montgomery","2018","6.9","Modeled",
"36","New York","36059","Nassau","2018","8.7","Modeled",
"36","New York","36061","New York","2018","10.4","",
"36","New York","36063","Niagara","2018","8.7","Modeled",
"36","New York","36065","Oneida","2018","6.5","Modeled",
"36","New York","36067","Onondaga","2018","5.1","",
"36","New York","36069","Ontario","2018","6.6","Modeled",
"36","New York","36071","Orange","2018","6.4","",
"36","New York","36073","Orleans","2018","7.3","Modeled",
"36","New York","36075","Oswego","2018","6.4","Modeled",
"36","New York","36077","Otsego","2018","6.4","Modeled",
"36","New York","36079","Putnam","2018","7.9","Modeled",
"36","New York","36081","Queens","2018","8.3","",
"36","New York","36083","Rensselaer","2018","7.5","Modeled",
"36","New York","36085","Richmond","2018","7.8","",
"36","New York","36087","Rockland","2018","8.8","Modeled",
"36","New York","36091","Saratoga","2018","7.7","Modeled",
"36","New York","36093","Schenectady","2018","7.5","Modeled",
"36","New York","36095","Schoharie","2018","6.5","Modeled",
"36","New York","36097","Schuyler","2018","6.0","Modeled",
"36","New York","36099","Seneca","2018","6.4","Modeled",
"36","New York","36089","St. Lawrence","2018","7.7","Modeled",
"36","New York","36101","Steuben","2018","4.8","",
"36","New York","36103","Suffolk","2018","6.8","",
"36","New York","36105","Sullivan","2018","7.2","Modeled",
"36","New York","36107","Tioga","2018","6.6","Modeled",
"36","New York","36109","Tompkins","2018","6.2","Modeled",
"36","New York","36111","Ulster","2018","7.4","Modeled",
"36","New York","36113","Warren","2018","7.2","Modeled",
"36","New York","36115","Washington","2018","7.3","Modeled",
"36","New York","36117","Wayne","2018","6.7","Modeled",
"36","New York","36119","Westchester","2018","9.3","Modeled",
"36","New York","36121","Wyoming","2018","7.0","Modeled",
"36","New York","36123","Yates","2018","6.0","Modeled",
